"temp","humidity","precip"
63,73,0
68.1,69.9,0
75.2,68.7,0
79.7,67.5,0
79,72.9,0
79.6,71,0
72.6,84.5,0.26
68.5,75.8,0
65,85,0
66.8,85.3,0.12
65.9,78.1,0
65.3,82.5,0
63,76.5,0.05
57.5,71,0
57.1,72.5,0
58.2,71.2,0
61.4,72.5,0
60.9,83.1,0
59.2,70.3,0.7
56.1,72,0
56.9,70.1,0
59.4,70,0
59.8,64.3,0
59.4,77.4,0
62.4,78.4,0.06
59.6,71.8,0
57.7,65.8,0
59,64.9,0
63.6,78,0
58.8,83.7,0
